source,id,image_path,proposed_articleType,proposed_confidence,top3,retrieval_neighbours,CONFIRM_articleType
input_images,1017_women_0023_a36fe2486db54e83b62813b56147a042_master,A2_FashionDataset\input_images\1017_women_0023_a36fe2486db54e83b62813b56147a042_master.webp,Dupatta,0.2209,Dupatta 0.22 | Stoles 0.09 | Sarees 0.04,Stoles | Scarves | Stoles,
images_test,52473,A2_FashionDataset\FashionDataset\test\images_test\52473.jpg,Dupatta,0.1697,Dupatta 0.17 | Free Gifts 0.12 | Jumpsuit 0.12,Kurtas | Kurtas | Kurtas,
images_test,52177,A2_FashionDataset\FashionDataset\test\images_test\52177.jpg,Casual Shoes,0.2541,Casual Shoes 0.25 | Watches 0.13 | Handbags 0.11,Sports Shoes | Sports Shoes | Casual Shoes,
images_test,52474,A2_FashionDataset\FashionDataset\test\images_test\52474.jpg,Stoles,0.1872,Stoles 0.19 | Dupatta 0.13 | Kurta Sets 0.09,Nightdress | Kurtas | Nightdress,
images_test,56085,A2_FashionDataset\FashionDataset\test\images_test\56085.jpg,Earrings,0.1268,Earrings 0.13 | Briefs 0.10 | Lipstick 0.10,Earrings | Earrings | Earrings,
images_test,57846,A2_FashionDataset\FashionDataset\test\images_test\57846.jpg,Waist Pouch,0.2487,Waist Pouch 0.25 | Handbags 0.23 | Mobile Pouch 0.14,Handbags | Clutches | Clutches,
images_test,56176,A2_FashionDataset\FashionDataset\test\images_test\56176.jpg,Earrings,0.1301,Earrings 0.13 | Lipstick 0.13 | Kajal and Eyeliner 0.07,Heels | Heels | Earrings,
images_test,53775,A2_FashionDataset\FashionDataset\test\images_test\53775.jpg,Tshirts,0.2841,Tshirts 0.28 | Shirts 0.11 | Dresses 0.05,Tshirts | Tops | Tshirts,
images_test,59455,A2_FashionDataset\FashionDataset\test\images_test\59455.jpg,Foundation and Primer,0.1178,Foundation and Primer 0.12 | Sports Shoes 0.07 | Watches 0.06,Pendant | Pendant | Watches,
images_test,53822,A2_FashionDataset\FashionDataset\test\images_test\53822.jpg,Kurtas,0.2538,Kurtas 0.25 | Dupatta 0.06 | Tunics 0.04,Kurtas | Kurtas | Tops,
images_test,54727,A2_FashionDataset\FashionDataset\test\images_test\54727.jpg,Dresses,0.5209,Dresses 0.52 | Sarees 0.16 | Kurtas 0.06,Dresses | Dresses | Kurtas,
images_test,55202,A2_FashionDataset\FashionDataset\test\images_test\55202.jpg,Perfume and Body Mist,0.0859,Perfume and Body Mist 0.09 | Tops 0.04 | Waist Pouch 0.04,Flip Flops | Flip Flops | Flip Flops,
images_test,56175,A2_FashionDataset\FashionDataset\test\images_test\56175.jpg,Earrings,0.1345,Earrings 0.13 | Lipstick 0.12 | Kajal and Eyeliner 0.06,Flats | Heels | Heels,
images_test,55203,A2_FashionDataset\FashionDataset\test\images_test\55203.jpg,Perfume and Body Mist,0.1003,Perfume and Body Mist 0.10 | Foundation and Primer 0.05 | Sunglasses 0.05,Flip Flops | Bra | Wristbands,
images_test,55231,A2_FashionDataset\FashionDataset\test\images_test\55231.jpg,Fragrance Gift Set,0.3047,Fragrance Gift Set 0.30 | Socks 0.17 | Lounge Shorts 0.13,Deodorant | Deodorant | Deodorant,
images_test,52322,A2_FashionDataset\FashionDataset\test\images_test\52322.jpg,Belts,0.9647,Belts 0.96 | Travel Accessory 0.00 | Duffel Bag 0.00,Belts | Belts | Belts,
images_test,52512,A2_FashionDataset\FashionDataset\test\images_test\52512.jpg,Nightdress,0.2047,Nightdress 0.20 | Dresses 0.12 | Kurtas 0.09,Kurtas | Kurtas | Kurtas,
images_test,55930,A2_FashionDataset\FashionDataset\test\images_test\55930.jpg,Perfume and Body Mist,0.7213,Perfume and Body Mist 0.72 | Foundation and Primer 0.05 | Lipstick 0.04,Perfume and Body Mist | Perfume and Body Mist | Deodorant,
images_test,52029,A2_FashionDataset\FashionDataset\test\images_test\52029.jpg,Watches,0.2053,Watches 0.21 | Sweatshirts 0.18 | Jackets 0.06,Jackets | Jackets | Jackets,
images_test,52599,A2_FashionDataset\FashionDataset\test\images_test\52599.jpg,Clutches,0.4825,Clutches 0.48 | Mobile Pouch 0.09 | Wallets 0.06,Clutches | Clutches | Clutches,
images_test,53372,A2_FashionDataset\FashionDataset\test\images_test\53372.jpg,Backpacks,0.9768,Backpacks 0.98 | Free Gifts 0.00 | Laptop Bag 0.00,Backpacks | Backpacks | Backpacks,
images_test,54977,A2_FashionDataset\FashionDataset\test\images_test\54977.jpg,Capris,0.6095,Capris 0.61 | Shorts 0.11 | Jeans 0.06,Capris | Capris | Capris,
images_test,55472,A2_FashionDataset\FashionDataset\test\images_test\55472.jpg,Pendant,0.1118,Pendant 0.11 | Lipstick 0.09 | Foundation and Primer 0.06,Lipstick | Concealer | Lip Gloss,
images_test,58097,A2_FashionDataset\FashionDataset\test\images_test\58097.jpg,Wallets,0.0957,Wallets 0.10 | Shorts 0.06 | Lipstick 0.05,Perfume and Body Mist | Earrings | Earrings,
images_test,57782,A2_FashionDataset\FashionDataset\test\images_test\57782.jpg,Messenger Bag,0.0962,Messenger Bag 0.10 | Handbags 0.09 | Belts 0.07,Perfume and Body Mist | Formal Shoes | Flip Flops,
images_test,53377,A2_FashionDataset\FashionDataset\test\images_test\53377.jpg,Messenger Bag,0.2027,Messenger Bag 0.20 | Travel Accessory 0.12 | Handbags 0.09,Handbags | Messenger Bag | Messenger Bag,
images_test,53489,A2_FashionDataset\FashionDataset\test\images_test\53489.jpg,Watches,0.1253,Watches 0.13 | Casual Shoes 0.11 | Tops 0.08,Tshirts | Shirts | Tshirts,
images_test,57091,A2_FashionDataset\FashionDataset\test\images_test\57091.jpg,Skirts,0.1061,Skirts 0.11 | Tshirts 0.07 | Dresses 0.07,Skirts | Shorts | Skirts,
images_test,58100,A2_FashionDataset\FashionDataset\test\images_test\58100.jpg,Bra,0.0752,Bra 0.08 | Handbags 0.05 | Rompers 0.05,Bra | Bra | Bra,
images_test,52378,A2_FashionDataset\FashionDataset\test\images_test\52378.jpg,Nightdress,0.4401,Nightdress 0.44 | Dresses 0.34 | Jumpsuit 0.03,Dresses | Dresses | Kurtas,
images_test,57161,A2_FashionDataset\FashionDataset\test\images_test\57161.jpg,Innerwear Vests,0.3138,Innerwear Vests 0.31 | Tops 0.26 | Night suits 0.08,Tops | Tshirts | Tshirts,
images_test,56191,A2_FashionDataset\FashionDataset\test\images_test\56191.jpg,Socks,0.1289,Socks 0.13 | Swimwear 0.09 | Tshirts 0.07,Socks | Socks | Socks,
images_test,57766,A2_FashionDataset\FashionDataset\test\images_test\57766.jpg,Watches,0.906,Watches 0.91 | Rompers 0.01 | Shoe Accessories 0.01,Watches | Tshirts | Tshirts,
images_test,57869,A2_FashionDataset\FashionDataset\test\images_test\57869.jpg,Mobile Pouch,0.1401,Mobile Pouch 0.14 | Trunk 0.11 | Belts 0.08,Fragrance Gift Set | Fragrance Gift Set | Perfume and Body Mist,
images_test,56546,A2_FashionDataset\FashionDataset\test\images_test\56546.jpg,Watches,0.7114,Watches 0.71 | Foundation and Primer 0.03 | Water Bottle 0.02,Watches | Watches | Watches,
images_test,54342,A2_FashionDataset\FashionDataset\test\images_test\54342.jpg,Leggings,0.4836,Leggings 0.48 | Churidar 0.14 | Jeggings 0.09,Jeans | Jeans | Jeans,
images_test,58907,A2_FashionDataset\FashionDataset\test\images_test\58907.jpg,Ties,0.9713,Ties 0.97 | Lip Liner 0.00 | Bracelet 0.00,Ties | Ties | Ties,
images_test,56267,A2_FashionDataset\FashionDataset\test\images_test\56267.jpg,Night suits,0.5729,Night suits 0.57 | Kurta Sets 0.11 | Skirts 0.06,Night suits | Night suits | Night suits,
images_test,56068,A2_FashionDataset\FashionDataset\test\images_test\56068.jpg,Socks,0.6161,Socks 0.62 | Booties 0.03 | Watches 0.02,Free Gifts | Scarves | Scarves,
images_test,54712,A2_FashionDataset\FashionDataset\test\images_test\54712.jpg,Kurta Sets,0.5697,Kurta Sets 0.57 | Jumpsuit 0.09 | Tracksuits 0.04,Kurta Sets | Kurta Sets | Kurta Sets,
images_test,56053,A2_FashionDataset\FashionDataset\test\images_test\56053.jpg,Earrings,0.1331,Earrings 0.13 | Kajal and Eyeliner 0.13 | Lip Liner 0.10,Lip Gloss | Lip Gloss | Kajal and Eyeliner,
images_test,55459,A2_FashionDataset\FashionDataset\test\images_test\55459.jpg,Pendant,0.1258,Pendant 0.13 | Lipstick 0.09 | Foundation and Primer 0.05,Lipstick | Concealer | Concealer,
images_test,56428,A2_FashionDataset\FashionDataset\test\images_test\56428.jpg,Basketballs,0.1814,Basketballs 0.18 | Foundation and Primer 0.15 | Backpacks 0.14,Perfume and Body Mist | Clutches | Perfume and Body Mist,
images_test,52256,A2_FashionDataset\FashionDataset\test\images_test\52256.jpg,Trunk,0.7262,Trunk 0.73 | Boxers 0.02 | Briefs 0.02,Briefs | Trunk | Briefs,
images_test,55467,A2_FashionDataset\FashionDataset\test\images_test\55467.jpg,Pendant,0.0992,Pendant 0.10 | Lipstick 0.09 | Foundation and Primer 0.08,Lipstick | Concealer | Concealer,
images_test,54489,A2_FashionDataset\FashionDataset\test\images_test\54489.jpg,Shoe Accessories,0.1325,Shoe Accessories 0.13 | Socks 0.12 | Casual Shoes 0.11,Trolley Bag | Laptop Bag | Belts,
images_test,55246,A2_FashionDataset\FashionDataset\test\images_test\55246.jpg,Watches,0.2833,Watches 0.28 | Socks 0.11 | Free Gifts 0.07,Water Bottle | Water Bottle | Deodorant,
